program,sample,replicate,rv5
Dummy,1,1,3.0970994697224477
Dummy,1,2,3.084718947316868
Dummy,2,1,0.5306024288961679
Dummy,2,2,0.7135180937615226
Dummy,3,1,3.860733160696822
Dummy,3,2,6.357479014777423
Dummy,4,1,3.0439209185275007
Dummy,4,2,4.171135671034991
Dummy,5,1,1.695337234235162
Dummy,5,2,2.290096377263505
Dummy,6,1,4.003798918782672
Dummy,6,2,1.2276422810113452
Dummy,7,1,-1.994607061986037
Dummy,7,2,2.8087930793054086
Dummy,8,1,3.530623019173822
Dummy,8,2,2.00403535581209
Dummy,9,1,1.1855404544099604
Dummy,9,2,-0.7882467825469841
Dummy,10,1,-0.6302071827733644
Dummy,10,2,5.264395045115821




















