Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
0	-956.664	-934.5529	-22.1111	0.353449	0.430898	0.49581	3.61368	0.708918	1.44015	6.26948	6.67377	3.15629	7.93183	0.832366	1.01476	1.16762	1.91668	0.376006	0.763846	0.353449	0.430898	0.49581	0	0	0	0	0	0.53415	0	0	0.544306	0	0	-0.345482	1.024748	0.9196953	0.4246317	1.545199	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0.369602	-0.353619	0.169878	-0.596945	0	1.5452	1.02475	2.569947	1.91668	0.376006	0.763846
10	-953.4917	-933.3677	-20.12402	0.684594	0.773331	0.767891	3.5508	0.959501	1.88272	5.15264	6.07586	3.82969	7.49255	0.993946	1.12278	1.11488	1.56624	0.42323	0.830455	0.684594	0.773331	0.767891	0	0	0	0	0	0	0	0	0.0180125	0	0	-0.238259	0.5202134	1.066822	0.6887637	1.858028	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0.430037	0	0	0	0.109243	-0.596945	0	1.85803	0.520213	2.378241	1.56624	0.42323	0.830455
20	-959.6088	-933.8239	-25.78487	0.709889	2.06706	1.44622	3.86056	1.35711	1.45545	5.34181	5.43477	4.95544	6.96368	0.73547	2.14155	1.49834	1.50233	0.528119	0.566385	0.709889	2.06706	1.44622	0	0	0	0	1.38583	-0.915309	0	0	0.911454	0	0	-0.216138	0.1713587	1.050899	0.9652181	1.968283	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	-1.38971	0	0	0.680556	0	0.429319	0	-0.399948	1.96828	0.171359	2.139641	1.50233	0.528119	0.566385
30	-957.9326	-934.06	-23.87259	0.656759	1.86884	1.11439	4.00555	1.54269	1.71074	5.73291	5.8483	3.30886	7.41763	0.640992	1.82397	1.08764	1.8251	0.702916	0.779489	0.656759	1.86884	1.11439	0	0	0	0	0	0.975483	-0.764721	-0.538091	1.31933	0	0	-0.319484	0.07465408	1.18312	1.024597	2.1947	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0.249323	0	0.120145	0	0	2.1947	0.0746541	2.269354	1.8251	0.702916	0.779489
40	-956.7057	-936.2034	-20.50225	1.0246	1.0246	1.0246	3.83417	1.19482	1.35575	5.06372	5.21862	2.5734	6.42694	1	1	1	2.08587	0.650009	0.737554	1.0246	1.0246	1.0246	0	0	0	0	1.24059	-0.380981	0	0	0	0	0	-0.390403	0.01992572	1.234045	1.024597	1.838166	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1.18414	0	0	0	0	0	0	0	1.83817	0.0199257	1.858092	2.08587	0.650009	0.737554
50	-958.2914	-934.8185	-23.47293	0.738206	1.54066	0.738206	3.61675	1.29621	1.51218	5.04902	5.26499	2.89907	6.602	1	2.08703	1	1.88272	0.674749	0.787176	0.738206	1.54066	0.738206	0	0	0	0	0	0	0.37704	-0.30584	0	0	-0.135861	-0.311671	0.08347279	1.532071	0.7382061	1.92102	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0.479412	0.0737033	0	-0.620257	0.735742	0	0	0	1.92102	0.0834728	2.004493	1.88272	0.674749	0.787176
60	-954.9296	-933.5094	-21.42018	0.821154	1.20375	0.813543	3.72815	0.995317	1.14846	5.42212	5.57526	3.65853	7.1775	0.883034	1.29446	0.87485	2.29952	0.61391	0.708366	0.821154	1.20375	0.813543	0	0	0	0	0	0	-0.892782	0	1.10925	-0.132507	0	-0.442186	0.6240141	1.140199	0.9299239	1.621274	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0.773861	0	0	0	0	0	0	1.62127	0.624014	2.245289	2.29952	0.61391	0.708366
70	-956.1532	-936.1422	-20.011	0.535619	0.567201	0.753963	3.50138	1.03715	1.18333	6.361	6.50717	4.04294	8.45555	0.864475	0.915448	1.21688	2.15366	0.637941	0.727851	0.535619	0.567201	0.753963	0	0	0	0	0	0	0	0	-0.814436	0.223124	0	-0.407387	1.288676	1.270603	0.6195886	1.625782	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	-0.0376868	0	0	0	1.62578	1.28868	2.914458	2.15366	0.637941	0.727851
80	-956.0542	-932.5099	-23.54438	0.647046	1.00995	1.00995	3.35376	1.03227	1.33812	4.92972	5.10809	5.25328	6.78101	1	1.56087	1.56087	2.01184	0.61923	0.802704	0.647046	1.00995	1.00995	0	0	0	0	1.03073	0	-0.500834	-0.358033	0	0	-0.417342	-0.296507	0.5428285	1.201103	0.6470456	1.667015	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1.42308	0	0	0	0.445241	0	0	1.66701	0.542829	2.209843	2.01184	0.61923	0.802704
90	-954.7681	-933.7703	-20.99778	0.283085	1.65334	0.890697	3.50012	1.6128	1.75407	6.31516	6.68247	5.59645	9.17142	0.609118	3.55751	1.91652	1.62997	0.751065	0.816852	0.283085	1.65334	0.890697	0	0	0	0	0	-0.500601	0	0	0	0.263253	0	-0.259439	1.092396	1.17328	0.4647467	2.147356	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0.533348	0.445241	0	0	2.14736	1.0924	3.239752	1.62997	0.751065	0.816852
