iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
10	1	2	0	2	2	NA	no_change	5	NA	NA
11	1	2	0	0	2	0.09061	anagenetic	5	NA	NA
12	1	2	0	2	2	NA	no_change	5	NA	NA
13	1	2	0	1	2	1.92474	anagenetic	5	NA	NA
14	1	2	0	2	2	NA	no_change	5	NA	NA
15	1	2	0	0	2	1.25887	anagenetic	5	NA	NA
16	1	2	0	2	2	NA	no_change	5	NA	NA
17	1	2	0	0	2	0.36533	anagenetic	5	NA	NA
18	1	2	0	0	2	1.04163	anagenetic	5	NA	NA
19	1	2	0	0	2	0.43471	anagenetic	5	NA	NA
20	1	2	0	0	2	0.3652	anagenetic	5	NA	NA
21	1	2	0	2	1	1.95633	anagenetic	5	NA	NA
21	1	2	0	1	2	1.1022	anagenetic	5	NA	NA
22	1	2	0	2	2	NA	no_change	5	NA	NA
23	1	2	0	1	2	1.40502	anagenetic	5	NA	NA
24	1	2	0	2	2	NA	no_change	5	NA	NA
25	1	2	0	1	2	1.11377	anagenetic	5	NA	NA
26	1	2	0	1	2	1.18619	anagenetic	5	NA	NA
27	1	2	0	0	2	0.92836	anagenetic	5	NA	NA
28	1	2	0	2	2	NA	no_change	5	NA	NA
29	1	2	0	2	2	NA	no_change	5	NA	NA
30	1	2	0	1	2	0.92836	anagenetic	5	NA	NA
31	1	2	0	2	2	NA	no_change	5	NA	NA
32	1	2	0	2	2	NA	no_change	5	NA	NA
33	1	2	0	1	2	0.22745	anagenetic	5	NA	NA
34	1	2	0	0	2	0.36533	anagenetic	5	NA	NA
35	1	2	0	0	2	0.29624	anagenetic	5	NA	NA
36	1	2	0	1	2	1.18619	anagenetic	5	NA	NA
37	1	2	0	2	2	NA	no_change	5	NA	NA
38	1	2	0	1	2	0.78591	anagenetic	5	NA	NA
39	1	2	0	1	2	0.78591	anagenetic	5	NA	NA
40	1	2	0	1	2	0.7151	anagenetic	5	NA	NA
41	1	2	0	1	2	2	anagenetic	5	NA	NA
42	1	2	0	1	2	0.7151	anagenetic	5	NA	NA
43	1	2	0	0	2	0.22751	anagenetic	5	NA	NA
44	1	2	0	1	2	1.77498	anagenetic	5	NA	NA
45	1	2	0	0	2	0.15896	anagenetic	5	NA	NA
46	1	2	0	0	2	0.09076	anagenetic	5	NA	NA
47	1	2	0	0	2	1.70047	anagenetic	5	NA	NA
48	1	2	0	1	2	0.50437	anagenetic	5	NA	NA
49	1	2	0	1	2	0.7151	anagenetic	5	NA	NA
50	1	2	0	1	2	0.02288	anagenetic	5	NA	NA
51	1	2	0	2	2	NA	no_change	5	NA	NA
52	1	2	0	2	0	1.82561	anagenetic	5	NA	NA
52	1	2	0	0	2	0.227212	anagenetic	5	NA	NA
53	1	2	0	0	2	0.57433	anagenetic	5	NA	NA
54	1	2	0	0	2	0.50438	anagenetic	5	NA	NA
55	1	2	0	1	2	0.78592	anagenetic	5	NA	NA
56	1	2	0	1	2	0.36533	anagenetic	5	NA	NA
57	1	2	0	0	2	0.57433	anagenetic	5	NA	NA
58	1	2	0	0	2	0.2273	anagenetic	5	NA	NA
59	1	2	0	1	2	1.77498	anagenetic	5	NA	NA
60	1	2	0	0	2	0.09076	anagenetic	5	NA	NA
61	1	2	0	1	2	1.40502	anagenetic	5	NA	NA
62	1	2	0	1	2	0.43474	anagenetic	5	NA	NA
63	1	2	0	2	2	NA	no_change	5	NA	NA
64	1	2	0	1	2	1.40502	anagenetic	5	NA	NA
65	1	2	0	1	2	1	anagenetic	5	NA	NA
66	1	2	0	1	2	1.11377	anagenetic	5	NA	NA
67	1	2	0	2	2	NA	no_change	5	NA	NA
68	1	2	0	0	2	0.78591	anagenetic	5	NA	NA
69	1	2	0	2	2	NA	no_change	5	NA	NA
70	1	2	0	0	2	0.22745	anagenetic	5	NA	NA
71	1	2	0	0	2	1	anagenetic	5	NA	NA
72	1	2	0	0	2	0.50433	anagenetic	5	NA	NA
73	1	2	0	0	2	0.92835	anagenetic	5	NA	NA
74	1	2	0	0	2	0.43471	anagenetic	5	NA	NA
75	1	2	0	1	2	1.84973	anagenetic	5	NA	NA
76	1	2	0	0	2	1.92474	anagenetic	5	NA	NA
77	1	2	0	0	2	2	anagenetic	5	NA	NA
78	1	2	0	2	2	NA	no_change	5	NA	NA
79	1	2	0	0	2	0.2961	anagenetic	5	NA	NA
80	1	2	0	1	2	0.78591	anagenetic	5	NA	NA
81	1	2	0	0	2	0.71504	anagenetic	5	NA	NA
82	1	2	0	0	2	1.77498	anagenetic	5	NA	NA
83	1	2	0	1	2	0.43471	anagenetic	5	NA	NA
84	1	2	0	1	2	1.92474	anagenetic	5	NA	NA
85	1	2	0	0	2	0.857	anagenetic	5	NA	NA
86	1	2	0	1	2	1.55223	anagenetic	5	NA	NA
87	1	2	0	1	2	0.15892	anagenetic	5	NA	NA
88	1	2	0	0	2	1.70047	anagenetic	5	NA	NA
89	1	2	0	1	2	1.77498	anagenetic	5	NA	NA
90	1	2	0	1	2	0.15877	anagenetic	5	NA	NA
91	1	2	0	2	2	NA	no_change	5	NA	NA
92	1	2	0	1	2	1.11377	anagenetic	5	NA	NA
93	1	2	0	1	2	1.4785	anagenetic	5	NA	NA
94	1	2	0	2	2	NA	no_change	5	NA	NA
95	1	2	0	1	2	1.33181	anagenetic	5	NA	NA
96	1	2	0	1	2	1.4785	anagenetic	5	NA	NA
97	1	2	0	0	2	0.22744	anagenetic	5	NA	NA
98	1	2	0	2	2	NA	no_change	5	NA	NA
99	1	2	0	0	2	1.33181	anagenetic	5	NA	NA
100	1	2	0	1	2	1.18619	anagenetic	5	NA	NA
10	2	1	0	2	1	0.62066	anagenetic	4	NA	NA
11	2	1	0	1	1	NA	no_change	4	NA	NA
12	2	1	0	1	1	NA	no_change	4	NA	NA
13	2	1	0	1	1	NA	no_change	4	NA	NA
14	2	1	0	1	1	NA	no_change	4	NA	NA
15	2	1	0	1	1	NA	no_change	4	NA	NA
16	2	1	0	1	1	NA	no_change	4	NA	NA
17	2	1	0	1	1	NA	no_change	4	NA	NA
18	2	1	0	0	2	0.365311	anagenetic	4	NA	NA
18	2	1	0	2	1	0.130994	anagenetic	4	NA	NA
19	2	1	0	1	1	NA	no_change	4	NA	NA
20	2	1	0	1	1	NA	no_change	4	NA	NA
21	2	1	0	1	1	NA	no_change	4	NA	NA
22	2	1	0	1	1	NA	no_change	4	NA	NA
23	2	1	0	1	1	NA	no_change	4	NA	NA
24	2	1	0	1	1	NA	no_change	4	NA	NA
25	2	1	0	1	1	NA	no_change	4	NA	NA
26	2	1	0	1	1	NA	no_change	4	NA	NA
27	2	1	0	1	1	NA	no_change	4	NA	NA
28	2	1	0	1	1	NA	no_change	4	NA	NA
29	2	1	0	1	1	NA	no_change	4	NA	NA
30	2	1	0	2	1	0.873027	anagenetic	4	NA	NA
31	2	1	0	1	1	NA	no_change	4	NA	NA
32	2	1	0	1	1	NA	no_change	4	NA	NA
33	2	1	0	1	1	NA	no_change	4	NA	NA
34	2	1	0	1	1	NA	no_change	4	NA	NA
35	2	1	0	1	1	NA	no_change	4	NA	NA
36	2	1	0	1	1	NA	no_change	4	NA	NA
37	2	1	0	1	1	NA	no_change	4	NA	NA
38	2	1	0	1	1	NA	no_change	4	NA	NA
39	2	1	0	1	1	NA	no_change	4	NA	NA
40	2	1	0	1	1	NA	no_change	4	NA	NA
41	2	1	0	1	1	NA	no_change	4	NA	NA
42	2	1	0	1	1	NA	no_change	4	NA	NA
43	2	1	0	2	1	0.830835	anagenetic	4	NA	NA
44	2	1	0	1	1	NA	no_change	4	NA	NA
45	2	1	0	1	1	NA	no_change	4	NA	NA
46	2	1	0	1	1	NA	no_change	4	NA	NA
47	2	1	0	1	1	NA	no_change	4	NA	NA
48	2	1	0	1	1	NA	no_change	4	NA	NA
49	2	1	0	1	1	NA	no_change	4	NA	NA
50	2	1	0	1	1	NA	no_change	4	NA	NA
51	2	1	0	1	1	NA	no_change	4	NA	NA
52	2	1	0	1	1	NA	no_change	4	NA	NA
53	2	1	0	1	1	NA	no_change	4	NA	NA
54	2	1	0	1	1	NA	no_change	4	NA	NA
55	2	1	0	1	1	NA	no_change	4	NA	NA
56	2	1	0	1	1	NA	no_change	4	NA	NA
57	2	1	0	1	1	NA	no_change	4	NA	NA
58	2	1	0	1	1	NA	no_change	4	NA	NA
59	2	1	0	1	1	NA	no_change	4	NA	NA
60	2	1	0	2	1	0.411889	anagenetic	4	NA	NA
61	2	1	0	1	1	NA	no_change	4	NA	NA
62	2	1	0	1	1	NA	no_change	4	NA	NA
63	2	1	0	1	1	NA	no_change	4	NA	NA
64	2	1	0	1	1	NA	no_change	4	NA	NA
65	2	1	0	1	1	NA	no_change	4	NA	NA
66	2	1	0	1	1	NA	no_change	4	NA	NA
67	2	1	0	1	1	NA	no_change	4	NA	NA
68	2	1	0	1	1	NA	no_change	4	NA	NA
69	2	1	0	2	1	0.204918	anagenetic	4	NA	NA
70	2	1	0	1	1	NA	no_change	4	NA	NA
71	2	1	0	1	1	NA	no_change	4	NA	NA
72	2	1	0	1	1	NA	no_change	4	NA	NA
73	2	1	0	1	1	NA	no_change	4	NA	NA
74	2	1	0	1	1	NA	no_change	4	NA	NA
75	2	1	0	1	1	NA	no_change	4	NA	NA
76	2	1	0	1	1	NA	no_change	4	NA	NA
77	2	1	0	1	1	NA	no_change	4	NA	NA
78	2	1	0	1	1	NA	no_change	4	NA	NA
79	2	1	0	1	1	NA	no_change	4	NA	NA
80	2	1	0	2	1	0.537023	anagenetic	4	NA	NA
81	2	1	0	1	1	NA	no_change	4	NA	NA
82	2	1	0	1	1	NA	no_change	4	NA	NA
83	2	1	0	2	1	0.081162	anagenetic	4	NA	NA
84	2	1	0	1	1	NA	no_change	4	NA	NA
85	2	1	0	1	1	NA	no_change	4	NA	NA
86	2	1	0	1	1	NA	no_change	4	NA	NA
87	2	1	0	1	1	NA	no_change	4	NA	NA
88	2	1	0	1	1	NA	no_change	4	NA	NA
89	2	1	0	1	1	NA	no_change	4	NA	NA
90	2	1	0	1	1	NA	no_change	4	NA	NA
91	2	1	0	1	1	NA	no_change	4	NA	NA
92	2	1	0	2	1	0.163405	anagenetic	4	NA	NA
93	2	1	0	1	1	NA	no_change	4	NA	NA
94	2	1	0	1	1	NA	no_change	4	NA	NA
95	2	1	0	1	1	NA	no_change	4	NA	NA
96	2	1	0	2	1	0.246268	anagenetic	4	NA	NA
97	2	1	0	1	1	NA	no_change	4	NA	NA
98	2	1	0	1	1	NA	no_change	4	NA	NA
99	2	1	0	1	1	NA	no_change	4	NA	NA
100	2	1	0	1	1	NA	no_change	4	NA	NA
10	3	1	0	0	0	NA	no_change	4	NA	NA
11	3	1	0	0	0	NA	no_change	4	NA	NA
12	3	1	0	2	0	0.578887	anagenetic	4	NA	NA
13	3	1	0	0	0	NA	no_change	4	NA	NA
14	3	1	0	2	0	0.91533	anagenetic	4	NA	NA
15	3	1	0	0	0	NA	no_change	4	NA	NA
16	3	1	0	0	0	NA	no_change	4	NA	NA
17	3	1	0	0	0	NA	no_change	4	NA	NA
18	3	1	0	0	0	NA	no_change	4	NA	NA
19	3	1	0	0	0	NA	no_change	4	NA	NA
20	3	1	0	1	2	0.715194	anagenetic	4	NA	NA
20	3	1	0	2	0	0.146083	anagenetic	4	NA	NA
21	3	1	0	2	0	0.495185	anagenetic	4	NA	NA
22	3	1	0	0	0	NA	no_change	4	NA	NA
23	3	1	0	2	0	0.578878	anagenetic	4	NA	NA
24	3	1	0	0	0	NA	no_change	4	NA	NA
25	3	1	0	0	0	NA	no_change	4	NA	NA
26	3	1	0	0	0	NA	no_change	4	NA	NA
27	3	1	0	0	0	NA	no_change	4	NA	NA
28	3	1	0	0	0	NA	no_change	4	NA	NA
29	3	1	0	0	0	NA	no_change	4	NA	NA
30	3	1	0	0	0	NA	no_change	4	NA	NA
31	3	1	0	0	0	NA	no_change	4	NA	NA
32	3	1	0	0	0	NA	no_change	4	NA	NA
33	3	1	0	0	0	NA	no_change	4	NA	NA
34	3	1	0	0	0	NA	no_change	4	NA	NA
35	3	1	0	0	0	NA	no_change	4	NA	NA
36	3	1	0	2	0	0.329169	anagenetic	4	NA	NA
37	3	1	0	0	0	NA	no_change	4	NA	NA
38	3	1	0	0	0	NA	no_change	4	NA	NA
39	3	1	0	0	0	NA	no_change	4	NA	NA
40	3	1	0	0	0	NA	no_change	4	NA	NA
41	3	1	0	0	0	NA	no_change	4	NA	NA
42	3	1	0	0	0	NA	no_change	4	NA	NA
43	3	1	0	0	0	NA	no_change	4	NA	NA
44	3	1	0	0	0	NA	no_change	4	NA	NA
45	3	1	0	2	0	0.412171	anagenetic	4	NA	NA
46	3	1	0	0	0	NA	no_change	4	NA	NA
47	3	1	0	0	0	NA	no_change	4	NA	NA
48	3	1	0	0	0	NA	no_change	4	NA	NA
49	3	1	0	0	0	NA	no_change	4	NA	NA
50	3	1	0	0	0	NA	no_change	4	NA	NA
51	3	1	0	1	2	0.71517	anagenetic	4	NA	NA
51	3	1	0	2	0	0.644661	anagenetic	4	NA	NA
52	3	1	0	0	0	NA	no_change	4	NA	NA
53	3	1	0	2	0	0.537141	anagenetic	4	NA	NA
54	3	1	0	0	0	NA	no_change	4	NA	NA
55	3	1	0	0	0	NA	no_change	4	NA	NA
56	3	1	0	0	0	NA	no_change	4	NA	NA
57	3	1	0	0	0	NA	no_change	4	NA	NA
58	3	1	0	0	0	NA	no_change	4	NA	NA
59	3	1	0	0	0	NA	no_change	4	NA	NA
60	3	1	0	0	0	NA	no_change	4	NA	NA
61	3	1	0	0	2	0.785956	anagenetic	4	NA	NA
61	3	1	0	2	0	0.339379	anagenetic	4	NA	NA
62	3	1	0	0	0	NA	no_change	4	NA	NA
63	3	1	0	0	0	NA	no_change	4	NA	NA
64	3	1	0	0	0	NA	no_change	4	NA	NA
65	3	1	0	0	0	NA	no_change	4	NA	NA
66	3	1	0	0	0	NA	no_change	4	NA	NA
67	3	1	0	0	0	NA	no_change	4	NA	NA
68	3	1	0	0	0	NA	no_change	4	NA	NA
69	3	1	0	0	0	NA	no_change	4	NA	NA
70	3	1	0	2	0	0.204902	anagenetic	4	NA	NA
71	3	1	0	0	0	NA	no_change	4	NA	NA
72	3	1	0	0	0	NA	no_change	4	NA	NA
73	3	1	0	0	0	NA	no_change	4	NA	NA
74	3	1	0	0	0	NA	no_change	4	NA	NA
75	3	1	0	0	0	NA	no_change	4	NA	NA
76	3	1	0	2	0	0.495036	anagenetic	4	NA	NA
77	3	1	0	0	0	NA	no_change	4	NA	NA
78	3	1	0	0	0	NA	no_change	4	NA	NA
79	3	1	0	1	2	0.928378	anagenetic	4	NA	NA
79	3	1	0	2	0	0.479457	anagenetic	4	NA	NA
80	3	1	0	0	0	NA	no_change	4	NA	NA
81	3	1	0	0	0	NA	no_change	4	NA	NA
82	3	1	0	0	0	NA	no_change	4	NA	NA
83	3	1	0	0	0	NA	no_change	4	NA	NA
84	3	1	0	0	0	NA	no_change	4	NA	NA
85	3	1	0	0	0	NA	no_change	4	NA	NA
86	3	1	0	0	0	NA	no_change	4	NA	NA
87	3	1	0	0	0	NA	no_change	4	NA	NA
88	3	1	0	0	0	NA	no_change	4	NA	NA
89	3	1	0	0	0	NA	no_change	4	NA	NA
90	3	1	0	0	0	NA	no_change	4	NA	NA
91	3	1	0	0	0	NA	no_change	4	NA	NA
92	3	1	0	0	0	NA	no_change	4	NA	NA
93	3	1	0	0	0	NA	no_change	4	NA	NA
94	3	1	0	0	0	NA	no_change	4	NA	NA
95	3	1	0	0	0	NA	no_change	4	NA	NA
96	3	1	0	0	0	NA	no_change	4	NA	NA
97	3	1	0	0	0	NA	no_change	4	NA	NA
98	3	1	0	0	0	NA	no_change	4	NA	NA
99	3	1	0	0	0	NA	no_change	4	NA	NA
100	3	1	0	0	0	NA	no_change	4	NA	NA
10	4	2	1	1	2	1.47889	anagenetic	5	3	2
10	4	2	1	2	0	1	cladogenetic	5	3	2
11	4	2	1	0	2	1.62641	anagenetic	5	3	2
11	4	2	1	2	0	1	cladogenetic	5	3	2
11	4	2	1	2	1	1	cladogenetic	5	3	2
12	4	2	1	1	2	1.47889	anagenetic	5	3	2
12	4	2	1	2	1	1	cladogenetic	5	3	2
13	4	2	1	0	2	2	anagenetic	5	3	2
13	4	2	1	2	0	1	cladogenetic	5	3	2
13	4	2	1	2	1	1	cladogenetic	5	3	2
14	4	2	1	0	2	1.55257	anagenetic	5	3	2
14	4	2	1	2	1	1	cladogenetic	5	3	2
15	4	2	1	0	2	1.479	anagenetic	5	3	2
15	4	2	1	2	0	1	cladogenetic	5	3	2
15	4	2	1	2	1	1	cladogenetic	5	3	2
16	4	2	1	1	2	2	anagenetic	5	3	2
16	4	2	1	2	0	1	cladogenetic	5	3	2
16	4	2	1	2	1	1	cladogenetic	5	3	2
17	4	2	1	2	2	NA	no_change	5	3	2
17	4	2	1	2	0	1	cladogenetic	5	3	2
17	4	2	1	2	1	1	cladogenetic	5	3	2
18	4	2	1	0	0	NA	no_change	5	3	2
19	4	2	1	2	2	NA	no_change	5	3	2
19	4	2	1	2	0	1	cladogenetic	5	3	2
19	4	2	1	2	1	1	cladogenetic	5	3	2
20	4	2	1	1	1	NA	no_change	5	3	2
21	4	2	1	0	2	1.92479	anagenetic	5	3	2
21	4	2	1	2	1	1	cladogenetic	5	3	2
22	4	2	1	0	2	1.1868	anagenetic	5	3	2
22	4	2	1	2	0	1	cladogenetic	5	3	2
22	4	2	1	2	1	1	cladogenetic	5	3	2
23	4	2	1	2	2	NA	no_change	5	3	2
23	4	2	1	2	1	1	cladogenetic	5	3	2
24	4	2	1	1	2	1.62651	anagenetic	5	3	2
24	4	2	1	2	0	1	cladogenetic	5	3	2
24	4	2	1	2	1	1	cladogenetic	5	3	2
25	4	2	1	2	2	NA	no_change	5	3	2
25	4	2	1	2	0	1	cladogenetic	5	3	2
25	4	2	1	2	1	1	cladogenetic	5	3	2
26	4	2	1	2	2	NA	no_change	5	3	2
26	4	2	1	2	0	1	cladogenetic	5	3	2
26	4	2	1	2	1	1	cladogenetic	5	3	2
27	4	2	1	2	2	NA	no_change	5	3	2
27	4	2	1	2	0	1	cladogenetic	5	3	2
27	4	2	1	2	1	1	cladogenetic	5	3	2
28	4	2	1	0	2	1.7007	anagenetic	5	3	2
28	4	2	1	2	0	1	cladogenetic	5	3	2
28	4	2	1	2	1	1	cladogenetic	5	3	2
29	4	2	1	1	2	1.77515	anagenetic	5	3	2
29	4	2	1	2	0	1	cladogenetic	5	3	2
29	4	2	1	2	1	1	cladogenetic	5	3	2
30	4	2	1	2	2	NA	no_change	5	3	2
30	4	2	1	2	0	1	cladogenetic	5	3	2
31	4	2	1	1	2	1.11444	anagenetic	5	3	2
31	4	2	1	2	0	1	cladogenetic	5	3	2
31	4	2	1	2	1	1	cladogenetic	5	3	2
32	4	2	1	0	2	1.55257	anagenetic	5	3	2
32	4	2	1	2	0	1	cladogenetic	5	3	2
32	4	2	1	2	1	1	cladogenetic	5	3	2
33	4	2	1	2	2	NA	no_change	5	3	2
33	4	2	1	2	0	1	cladogenetic	5	3	2
33	4	2	1	2	1	1	cladogenetic	5	3	2
34	4	2	1	2	2	NA	no_change	5	3	2
34	4	2	1	2	0	1	cladogenetic	5	3	2
34	4	2	1	2	1	1	cladogenetic	5	3	2
35	4	2	1	2	2	NA	no_change	5	3	2
35	4	2	1	2	0	1	cladogenetic	5	3	2
35	4	2	1	2	1	1	cladogenetic	5	3	2
36	4	2	1	1	2	1.70072	anagenetic	5	3	2
36	4	2	1	2	1	1	cladogenetic	5	3	2
37	4	2	1	1	2	1.40548	anagenetic	5	3	2
37	4	2	1	2	0	1	cladogenetic	5	3	2
37	4	2	1	2	1	1	cladogenetic	5	3	2
38	4	2	1	2	2	NA	no_change	5	3	2
38	4	2	1	2	0	1	cladogenetic	5	3	2
38	4	2	1	2	1	1	cladogenetic	5	3	2
39	4	2	1	2	2	NA	no_change	5	3	2
39	4	2	1	2	0	1	cladogenetic	5	3	2
39	4	2	1	2	1	1	cladogenetic	5	3	2
40	4	2	1	2	2	NA	no_change	5	3	2
40	4	2	1	2	0	1	cladogenetic	5	3	2
40	4	2	1	2	1	1	cladogenetic	5	3	2
41	4	2	1	2	2	NA	no_change	5	3	2
41	4	2	1	2	0	1	cladogenetic	5	3	2
41	4	2	1	2	1	1	cladogenetic	5	3	2
42	4	2	1	2	2	NA	no_change	5	3	2
42	4	2	1	2	0	1	cladogenetic	5	3	2
42	4	2	1	2	1	1	cladogenetic	5	3	2
43	4	2	1	0	2	1.55246	anagenetic	5	3	2
43	4	2	1	2	0	1	cladogenetic	5	3	2
44	4	2	1	2	2	NA	no_change	5	3	2
44	4	2	1	2	0	1	cladogenetic	5	3	2
44	4	2	1	2	1	1	cladogenetic	5	3	2
45	4	2	1	2	2	NA	no_change	5	3	2
45	4	2	1	2	1	1	cladogenetic	5	3	2
46	4	2	1	2	2	NA	no_change	5	3	2
46	4	2	1	2	0	1	cladogenetic	5	3	2
46	4	2	1	2	1	1	cladogenetic	5	3	2
47	4	2	1	2	2	NA	no_change	5	3	2
47	4	2	1	2	0	1	cladogenetic	5	3	2
47	4	2	1	2	1	1	cladogenetic	5	3	2
48	4	2	1	0	2	1.47876	anagenetic	5	3	2
48	4	2	1	2	0	1	cladogenetic	5	3	2
48	4	2	1	2	1	1	cladogenetic	5	3	2
49	4	2	1	2	2	NA	no_change	5	3	2
49	4	2	1	2	0	1	cladogenetic	5	3	2
49	4	2	1	2	1	1	cladogenetic	5	3	2
50	4	2	1	2	2	NA	no_change	5	3	2
50	4	2	1	2	0	1	cladogenetic	5	3	2
50	4	2	1	2	1	1	cladogenetic	5	3	2
51	4	2	1	1	1	NA	no_change	5	3	2
52	4	2	1	0	2	1.33207	anagenetic	5	3	2
52	4	2	1	2	0	1	cladogenetic	5	3	2
52	4	2	1	2	1	1	cladogenetic	5	3	2
53	4	2	1	2	2	NA	no_change	5	3	2
53	4	2	1	2	1	1	cladogenetic	5	3	2
54	4	2	1	2	2	NA	no_change	5	3	2
54	4	2	1	2	0	1	cladogenetic	5	3	2
54	4	2	1	2	1	1	cladogenetic	5	3	2
55	4	2	1	1	2	1.55246	anagenetic	5	3	2
55	4	2	1	2	0	1	cladogenetic	5	3	2
55	4	2	1	2	1	1	cladogenetic	5	3	2
56	4	2	1	2	2	NA	no_change	5	3	2
56	4	2	1	2	0	1	cladogenetic	5	3	2
56	4	2	1	2	1	1	cladogenetic	5	3	2
57	4	2	1	2	2	NA	no_change	5	3	2
57	4	2	1	2	0	1	cladogenetic	5	3	2
